Date,Item Total,Baked Goods qty,Alcohol qty,Grocery qty,Produce qty,Meat qty,Service deli qty,Dairy-Deli (frz/refrig) qty,Gen Merch qty,Seafood qty,Misc qty,Coupon qty,Misc cost,Alcohol Cost,Baked Goods cost,Seafood cost,Meat cost,Grocery cost,Produce cost,Service Deli cost,Dairy-Deli cost,Gen Merch cost,Coupon Cost,Cost (total),Taxes,Checkout Time,Cashier,Day of the Week,Total Savings,Terminal
5/7/1995,23,,,23,,,,,,,,,,,,,,79.29,,,,,,83.72,4.43,9:19:00 PM,,Sunday,0,
5/16/1995,22,,,22,,,,,,,,,,,,,,51.3,,,,,1.57,50.51,1.63,11:50:07 PM,,Tuesday,0,
9/15/2019,19,,,3,4,2,1,9,,,,,,,,,16.98,8.99,14.93,10.99,30.47,,,82.36,0,2:05:20 PM,Martin,Sunday,9.94,3
12/22/2019,31,,1,15,,5,,9,1,,,,,3.99,,,32.82,36.18,,,31.55,3.39,,108.33,,2:33:26 PM,jamie,Sunday,12.9,1
1/7/2020,5,,,4,,,1,,,,,,,,,,,8.62,,5.99,,,,14.8,0.19,11:51:45 AM,FastLane1,Tuesday,1.8,Self
1/12/2020,26,,,9,6,4,,7,,,,1,,,,,26.39,21.46,16.61,,17,,1,80.66,0.2,2:53:17 PM,Jamie,Sunday,11.27,7
1/19/2020,44,,,21,6,7,,8,2,,,2,,,,,36.89,46.01,11.87,,22.41,4.98,8,114.61,0.45,4:57:46 PM,Richard R,Sunday,39.3,2
1/26/2020,27,1,,7,4,6,,7,2,,,,,,2.99,,45.83,20.01,12.26,,17.93,5.98,,109.54,,4:27:47 PM,Martin,Sunday,27.89,2
2/2/2020,19,,,6,3,5,,5,,,,,,,,,35.29,13.86,9.87,,16.93,,,76.05,,7:20:38 PM,Jacqui,Sunday,12.4,2
2/9/2020,25,,,6,4,3,3,7,2,,,,,,,,21.62,20.94,16.6,21.97,33.12,14.28,,130.34,,8:10:28 PM,Dolores,Sunday,7.8,3
3/14/2020,36,1,,14,5,7,,3,6,,,,,,5.99,,39.34,55.28,12.3,,22.67,27.34,,182.19,4.81,9:25:08 PM,Richard R,Saturday,14.26,2
3/22/2020,35,,,16,5,7,,7,,,,,,,,,43.02,40.68,12.75,,27.11,,,122.06,0,8:37:26 AM,Annette,Sunday,12.27,6
4/19/2020,30,,,12,4,6,,7,1,,,,,,,,39.79,43.51,15.76,,28.05,4.79,,133.12,,8:24:24 AM,Jacqui,Sunday,3.77,5
4/22/2020,12,,,11,1,,,,,,,,,,,,,24.82,2.99,,,,,27.81,0,1:14:16 PM,Self Serve,Wednesday,0,23
4/29/2020,8,,,6,,,,2,,,,,,,,,,14,,,6.98,,,21.28,,6:31:00 PM,Self Serve,Wednesday,0,
5/3/2020,46,,,24,6,7,,8,1,,,,,,,,57.03,64.39,17.44,,42.25,3.39,,186.38,,8:18:39 AM,Theresa,Sunday,13.07,7
5/4/2020,40,1,,21,4,5,,7,1,,,1,,,,,41.04,40.96,7.98,,35.2,1.99,0.5,114,,8:27:50 AM,Theresa,Sunday,26.17,7
5/10/2020,28,2,,10,3,5,,7,1,,,,,,5.88,,39.99,43.3,7.88,,23.92,5.49,,128.04,,8:09:54 AM,Jacqui,Sunday,9.62,5
5/17/2020,32,1,,15,4,4,,8,,,,,,,3.69,,35.52,50.63,17.06,,23.41,,,130.94,,8:06:32 AM,Theresa,Sunday,13.33,5
5/31/2020,39,,,18,7,5,,8,1,,,,,,,,43.99,49.5,17.16,,32.89,5.79,,144.97,,8:01:03 AM,Alisha(Leigh),Sunday,17.71,7
6/2/2020,18,,,5,,1,,12,,,,,,,,,4.09,16.46,,,34.81,,,55.2,,9:36:48 AM,Alisha(Leigh),Tuesday,7.88,5
6/7/2020,32,,1,10,6,6,,8,1,,,1,,,,,46.18,31.57,18.36,,22.21,6.49,5,123.95,,8:38:06 AM,Alisha(Leigh),Sunday,21.16,7
6/21/2020,27,,,6,7,3,1,9,1,,,,,,,,30.13,25.4,14.06,9.99,32.69,1.99,,116.32,,8:20:33 AM,Alisha(Leigh),Sunday,9.29,5
6/28/2020,40,1,,19,7,5,,7,1,,,,,,3.69,,38.21,54.12,15.7,,29.21,1.99,20,122,,8:51:58 AM,Alisha(Leigh),Sunday,27.17,7
7/3/2020,8,,,2,,,,,6,,,,,,,,,4.89,,,,12.25,,18.26,,1:50:01 PM,Self Serve,Friday,0.39,23
